Samples	SBS1	SBS2	SBS5	SBS7b	SBS13	SBS46
LKCGP-P005406-294364-01-01-01-R2	1	0	3	0	0	0
LKCGP-P005501-278087-01-02-01-D1	0	0	34	0	0	0
LKCGP-P005504-294490-01-01-21-R1	0	0	8	0	0	0
LKCGP-P005601-279473-01-06-01-D1	0	6	22	0	0	0
LKCGP-P006104-300166-01-01-01-P1	1	0	7	0	0	0
LKCGP-P006202-298174-01-04-01-R1	0	115	50	48	81	0
LKCGP-T001102-244973-01-01-01-D1	0	0	12	0	0	0
LKCGP-T001202-245167-01-04-01-D1	0	0	19	0	14	0
LKCGP-T005701-242678-01-04-01-D1	0	3	24	0	17	0
LKCP-T000101-030303-01-04-01-D1	0	0	88	0	0	0
LKCP-T000102-168359-01-04-01-D1	0	11	3	0	3	0
LKCP-T000201-030226-01-01-01-D1	2	0	59	0	0	0
LKCP-T000301-174312-01-03-01-R1	0	0	3	0	1	0
LKCP-T000401-030270-02-02-16-R2	231	0	3033	0	0	948
LKCP-T000601-028528-01-01-01-R1	0	0	26	0	0	0
LKCP-T000801-030437-01-01-01-D1	0	0	9	0	0	0
LKCP-T000802-236863-01-01-01-R1	0	0	4	0	0	0
LKCP-T000902-239174-01-06-01-D1	0	0	4	0	0	0
LKCP-T001002-239333-01-06-01-D1	0	0	5	0	0	0
LKCP-T001101-030632-01-06-01-D1	1	0	159	0	0	0
LKCP-T001601-030978-01-02-01-D1	0	0	4	0	0	0
LKCP-T001701-030976-01-04-01-R1	0	43	3	26	49	0
LKCP-T001901-031281-01-04-01-R1	0	0	4	0	0	0
LKCP-T002201-031482-01-01-01-R1	4	0	0	0	0	0
LKCP-T002701-167650-01-03-01-P1	0	0	13	0	0	0
LKCP-T002801-167757-01-01-01-R1	0	0	46	0	0	0
LKCP-T002901-167990-01-04-01-R1	0	0	4	0	0	0
LKCP-T003301-172592-01-01-01-D1	0	0	11	0	9	0
LKCP-T003401-174216-01-01-01-R1	0	0	27	0	0	0
LKCP-T004001-176166-06-06-01-D1	0	0	10	0	0	0
LKCP-T004301-178339-01-01-01-R1	0	0	21	0	0	0
LKCP-T004401-235152-01-01-01-D1	0	2	9	0	7	0
LKCP-T004501-236339-01-02-05-R1	2	8	1	0	3	0
LKCP-T004601-236658-01-04-01-D1	0	0	4	0	0	0
LKCP-T004801-237803-03-01-01-D1	0	0	4	0	0	0
LKCP-T004901-238554-01-02-01-D1	0	0	5	0	0	0
LKCP-T005201-239954-01-01-01-D1	0	0	8	0	4	0
LKCP-T005401-240316-01-04-01-R1	0	0	17	0	0	0
I-H-108298-T1-1-D1-1	0	16	14	8	4	0
I-H-108317-T1-1-D1-1	0	0	0	2	2	0
I-H-108333-T2-2-D1-1	0	3	1	0	0	0
I-H-121266-T1-2-D1-1	0	4	0	0	5	0
I-H-133672-T1-2-D1-1	0	4	0	0	0	0
I-H-133675-T1-2-D1-1	0	10	4	0	8	0
I-H-134733-T3-2-D1-1	0	38	10	0	21	0
I-H-134757-T1-1-D1-1	0	3	1	0	5	11
I-H-135065-T1-1-D1-1	0	2	0	3	0	0
I-H-135074-T1-2-D1-1	0	0	8	0	0	0
I-H-135076-T1-1-D1-1	0	3	4	0	7	0
I-H-135088-T1-2-D1-1	0	8	6	0	23	0
I-H-135387-T1-1-D1-1	0	86	0	45	28	0
I-H-135392-T1-1-D1-1	0	7	0	9	23	0
